                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1042,                 5.0814,                 1.4914,                0.00635,                0.32232,                0.26641,                0.15636,                 1.5218,                 3.9668,                 1.1007,             0.00023283,             0.00023283,             0.00023283
                      2,                 1.6477,                 2.9291,                 1.2297,                0.78038,                0.19714,                0.56173,                0.31014,                 1.5154,                 2.6928,                 1.1142,             0.00042421,             0.00042421,             0.00042421
                      3,                 1.4779,                  2.346,                 1.1606,                0.76281,                0.58629,                0.68981,                0.40665,                  1.455,                 1.7604,                 1.0991,             0.00056848,             0.00056848,             0.00056848
                      4,                 1.4025,                 1.9053,                 1.1279,                0.73374,                0.74192,                0.75158,                0.47578,                 1.2216,                 1.2231,                 1.0406,             0.00050194,             0.00050194,             0.00050194
                      5,                 1.3103,                 1.7126,                  1.111,                0.87962,                0.73387,                0.82643,                0.53774,                 1.1152,                 1.0578,                 1.0176,             0.00050194,             0.00050194,             0.00050194
                      6,                 1.2307,                 1.5538,                 1.0676,                0.79803,                 0.8367,                0.83938,                0.52787,                 1.0715,                0.98016,                 1.0104,             0.00043126,             0.00043126,             0.00043126
                      7,                  1.228,                 1.4621,                 1.0649,                 0.7679,                0.85411,                0.87149,                0.55873,                 1.0856,                 0.9476,                0.99798,             0.00036057,             0.00036057,             0.00036057
                      8,                 1.1488,                 1.3564,                 1.0363,                0.75818,                0.90748,                0.89172,                0.59364,                0.96259,                0.88345,                  0.971,             0.00028988,             0.00028988,             0.00028988
                      9,                 1.1059,                 1.2854,                 1.0311,                0.84623,                0.88103,                0.90657,                   0.61,                0.94349,                0.80615,                0.95646,              0.0002192,              0.0002192,              0.0002192
                     10,                 1.0672,                 1.2451,                 1.0099,                0.84829,                0.88707,                0.91167,                0.62156,                0.92273,                0.77849,                0.95303,             0.00014851,             0.00014851,             0.00014851
